	('seedingDensity 0',)	('meanTotalCellCountBeforeTreatment 1',)	('meanTotalCellCountAfterTreatment 2',)	('meanTotalControlCellCount 3',)	('meanRelativeCellCount 4',)	('meanNormalizedGrowthRateInhibitionValue 5',)
('PLX-4720 119', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	312.5	222.1667	683.6667	682.0833	1.0025	1.0023
('PLX-4720 120', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	312.5	222.1667	759.6667	682.0833	1.1071	1.1201
('PLX-4720 121', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	312.5	222.1667	756.3333	682.0833	1.111	1.1372
('PLX-4720 122', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	312.5	222.1667	780.0	682.0833	1.1451	1.1778
('PLX-4720 123', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	312.5	222.1667	840.0	682.0833	1.2304	1.2741
('PLX-4720 124', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	312.5	222.1667	699.0	682.0833	1.0248	1.0289
('PLX-4720 125', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	312.5	222.1667	371.3333	682.0833	0.55066	0.38084
('NVP-TAE684 126', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0016596', 'replicate: 1')	312.5	222.1667	703.3333	682.0833	1.0307	1.033
('NVP-TAE684 127', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	312.5	222.1667	693.6667	682.0833	1.023	1.0338
('NVP-TAE684 128', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	312.5	222.1667	838.0	682.0833	1.235	1.288
('NVP-TAE684 129', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	312.5	222.1667	719.0	682.0833	1.0605	1.0797
('NVP-TAE684 130', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	312.5	222.1667	722.0	682.0833	1.054	1.0617
('NVP-TAE684 131', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	312.5	222.1667	688.0	682.0833	1.0058	1.0017
('NVP-TAE684 132', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	312.5	222.1667	422.0	682.0833	0.6152	0.47311
('NVP-TAE684 133', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	312.5	222.1667	196.3333	682.0833	0.28949	-0.077107
('NVP-TAE684 134', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	312.5	222.1667	134.3333	682.0833	0.20096	-0.26777
('Palbociclib 135', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	312.5	222.1667	589.3333	550.0	1.0688	1.0978
('Palbociclib 136', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	312.5	222.1667	574.6667	550.0	1.0568	1.1038
('Palbociclib 137', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	312.5	222.1667	387.6667	550.0	0.69308	0.48322
('Palbociclib 138', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	312.5	222.1667	439.6667	550.0	0.80412	0.68023
('Palbociclib 139', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	312.5	222.1667	347.3333	550.0	0.62831	0.37958
('Palbociclib 140', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	312.5	222.1667	234.6667	550.0	0.41904	0.0079166
('Palbociclib 141', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	312.5	222.1667	240.6667	550.0	0.43904	0.05289
('Palbociclib 142', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	312.5	222.1667	207.6667	550.0	0.37593	-0.067923
('Palbociclib 143', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	312.5	222.1667	237.0	550.0	0.43596	0.04862
('GSK2126458 144', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0016596', 'replicate: 1')	625.0	382.1667	1425.3333	1678.8333	0.89496	0.7446
('GSK2126458 145', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	625.0	382.1667	1340.0	1678.8333	0.87224	0.39369
('GSK2126458 146', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	625.0	382.1667	1229.0	1678.8333	0.84183	0.22127
('GSK2126458 147', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	625.0	382.1667	876.3333	1678.8333	0.571	1508.4334
('GSK2126458 148', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	625.0	382.1667	658.0	1678.8333	0.35588	1.53116055341e+12
('GSK2126458 149', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	625.0	382.1667	560.0	1678.8333	0.35262	167677050.122
('GSK2126458 150', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	625.0	382.1667	463.0	1678.8333	0.26199	2.5139228897e+13
('GSK2126458 151', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	625.0	382.1667	421.0	1678.8333	0.23534	8.41813822472e+14
('GSK2126458 152', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	625.0	382.1667	312.6667	1678.8333	0.19296	1.54982639882e+14
('Methotrexate 153', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0016596', 'replicate: 1')	625.0	382.1667	1595.0	1678.8333	0.92787	14.2979
('Methotrexate 154', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	625.0	382.1667	1679.0	1678.8333	1.0686	0.33117
('Methotrexate 155', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	625.0	382.1667	1532.3333	1678.8333	0.88253	59.8847
('Methotrexate 156', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	625.0	382.1667	1729.6667	1678.8333	1.105	0.3403
('Methotrexate 157', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	625.0	382.1667	1180.6667	1678.8333	0.70978	526.3287
('Methotrexate 158', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	625.0	382.1667	1018.6667	1678.8333	0.53376	4244017661.31
('Methotrexate 159', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	625.0	382.1667	1069.6667	1678.8333	0.64884	2719.3656
('Methotrexate 160', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	625.0	382.1667	957.6667	1678.8333	0.67603	1.9906
('Methotrexate 161', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Methotrexate', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	625.0	382.1667	1046.3333	1678.8333	0.65328	486.348
('Taxol 162', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.00016596', 'replicate: 1')	625.0	382.1667	1605.3333	1678.8333	0.88507	1388.7536
('Taxol 163', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.00033113', 'replicate: 1')	625.0	382.1667	1378.6667	1678.8333	0.9125	0.24383
('Taxol 164', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.001', 'replicate: 1')	625.0	382.1667	1212.0	1678.8333	0.69373	19406.4468
('Taxol 165', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0031623', 'replicate: 1')	625.0	382.1667	927.3333	1678.8333	0.55997	67876.5697
('Taxol 166', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	625.0	382.1667	589.6667	1678.8333	0.32702	2.38160130224e+12
('Taxol 167', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	625.0	382.1667	504.0	1678.8333	0.29719	1.5675594872e+11
('Taxol 168', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	625.0	382.1667	700.0	1678.8333	0.36862	1.53620880873e+13
('Taxol 169', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	625.0	382.1667	552.0	1678.8333	0.34877	193512967.383
('Taxol 170', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Taxol', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	625.0	382.1667	511.3333	1678.8333	0.32418	857240851.217
('Etoposide 171', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	625.0	382.1667	1033.6667	1080.0833	0.96207	0.94962
('Etoposide 172', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	625.0	382.1667	980.6667	1080.0833	0.91673	0.88996
('Etoposide 173', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	625.0	382.1667	1069.0	1080.0833	0.97535	0.94553
('Etoposide 174', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	625.0	382.1667	1219.3333	1080.0833	1.1384	1.1972
('Etoposide 175', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	625.0	382.1667	834.0	1080.0833	0.77478	0.67963
('Etoposide 176', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	625.0	382.1667	496.6667	1080.0833	0.45831	0.16694
('Etoposide 177', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	625.0	382.1667	367.0	1080.0833	0.3404	-0.043951
('Etoposide 178', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	625.0	382.1667	257.3333	1080.0833	0.23839	-0.2493
('Etoposide 179', 'smallmolecule_smSalt: 999', 'smallmolecule_smName: Etoposide', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	625.0	382.1667	293.6667	1080.0833	0.27929	-0.16491
('Nilotinib 180', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	625.0	382.1667	1147.3333	1080.0833	1.0628	1.0864
('Nilotinib 181', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	625.0	382.1667	1105.6667	1080.0833	1.0309	1.0479
('Nilotinib 182', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	625.0	382.1667	1194.3333	1080.0833	1.1232	1.1871
('Nilotinib 183', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	625.0	382.1667	1185.0	1080.0833	1.1013	1.1423
('Nilotinib 184', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	625.0	382.1667	1048.0	1080.0833	0.97044	0.95729
('Nilotinib 185', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	625.0	382.1667	1047.0	1080.0833	0.97221	0.96573
('Nilotinib 186', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	625.0	382.1667	1100.0	1080.0833	1.0021	0.97941
('Nilotinib 187', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	625.0	382.1667	861.3333	1080.0833	0.81732	0.75966
('Nilotinib 188', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Nilotinib', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	625.0	382.1667	1875.0	1080.0833	1.7704	2.0113
('PLX-4720 189', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	625.0	382.1667	1231.6667	1080.0833	1.1433	1.1982
('PLX-4720 190', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	625.0	382.1667	1084.3333	1080.0833	1.0103	1.0225
('PLX-4720 191', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	625.0	382.1667	1040.3333	1080.0833	0.9558	0.92959
('PLX-4720 192', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	625.0	382.1667	1122.6667	1080.0833	1.0282	1.0237
('PLX-4720 193', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	625.0	382.1667	1190.0	1080.0833	1.1011	1.1377
('PLX-4720 194', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	625.0	382.1667	1326.3333	1080.0833	1.2263	1.3024
('PLX-4720 195', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	625.0	382.1667	1282.0	1080.0833	1.1825	1.2397
('PLX-4720 196', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	625.0	382.1667	837.0	1080.0833	0.78537	0.70239
('PLX-4720 197', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: PLX-4720', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	625.0	382.1667	520.0	1080.0833	0.47614	0.19611
('NVP-TAE684 198', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0016596', 'replicate: 1')	625.0	382.1667	1189.3333	1080.0833	1.1071	1.1537
('NVP-TAE684 199', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	625.0	382.1667	1014.3333	1080.0833	0.94294	0.92355
('NVP-TAE684 200', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	625.0	382.1667	1175.3333	1080.0833	1.0759	1.0815
('NVP-TAE684 201', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	625.0	382.1667	1165.0	1080.0833	1.0826	1.1189
('NVP-TAE684 202', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	625.0	382.1667	986.0	1080.0833	0.90846	0.86524
('NVP-TAE684 203', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	625.0	382.1667	953.0	1080.0833	0.8764	0.81646
('NVP-TAE684 204', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	625.0	382.1667	673.3333	1080.0833	0.6222	0.44081
('NVP-TAE684 205', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	625.0	382.1667	270.3333	1080.0833	0.25045	-0.22348
('NVP-TAE684 206', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: NVP-TAE684', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	625.0	382.1667	166.3333	1080.0833	0.15716	-0.43607
('Palbociclib 207', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	625.0	382.1667	1440.6667	1678.8333	0.84672	45.1292
('Palbociclib 208', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	625.0	382.1667	1421.3333	1678.8333	0.82704	123.4598
('Palbociclib 209', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	625.0	382.1667	1226.3333	1678.8333	0.77318	9.5797
('Palbociclib 210', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	625.0	382.1667	1515.6667	1678.8333	0.97181	0.29965
('Palbociclib 211', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	625.0	382.1667	994.6667	1678.8333	0.60052	19406.3543
('Palbociclib 212', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 1', 'replicate: 1')	625.0	382.1667	706.6667	1678.8333	0.35375	2.8154089135e+15
('Palbociclib 213', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 3.1623', 'replicate: 1')	625.0	382.1667	682.6667	1678.8333	0.45672	45813.4075
('Palbociclib 214', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 10', 'replicate: 1')	625.0	382.1667	747.0	1678.8333	0.45015	6974727.744
('Palbociclib 215', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: Palbociclib', 'cell_clName: Hs 578T', 'smallMolConcentration: 19.9526', 'replicate: 1')	625.0	382.1667	736.3333	1678.8333	0.38664	2.38160130224e+12
('GSK2126458 216', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0016596', 'replicate: 1')	1250.0	718.4583	2046.6667	2335.3333	0.87505	0.84266
('GSK2126458 217', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.0033113', 'replicate: 1')	1250.0	718.4583	2026.3333	2335.3333	0.87397	0.84843
('GSK2126458 218', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.01', 'replicate: 1')	1250.0	718.4583	1741.3333	2335.3333	0.74083	0.66145
('GSK2126458 219', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.031623', 'replicate: 1')	1250.0	718.4583	1338.3333	2335.3333	0.55996	0.39191
('GSK2126458 220', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.1', 'replicate: 1')	1250.0	718.4583	1133.3333	2335.3333	0.4644	0.2289
('GSK2126458 221', 'smallmolecule_smSalt: 101', 'smallmolecule_smName: GSK2126458', 'cell_clName: Hs 578T', 'smallMolConcentration: 0.31623', 'replicate: 1')	1250.0	718.4583	1051.6667	2335.3333	0.43646	0.19527
