	('meanRelativeCellCount 0',)	('standardErroroftheMeanforRelativeCellCount 1',)	('meanNormalizedGrowthRateInhibitionValue 2',)	('standardErroroftheMeanforNormalizedGrowthRateInhibitionValue 3',)
('Neratinib 77', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10018', 'smallmolecule_smLincsID: LSM-1018', 'smallmolecule_smName: Neratinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.31621	0.021686	0.082181	0.067585
('JW-7-24-1 78', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.67722	0.033192	0.60745	0.052245
('JW-7-24-1 79', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.63509	0.020489	0.55109	0.04031
('JW-7-24-1 80', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.51165	0.031824	0.37317	0.066132
('JW-7-24-1 81', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.42227	0.012886	0.23638	0.046249
('JW-7-24-1 82', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.36417	0.017638	0.1389	0.044982
('JW-7-24-1 83', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10019', 'smallmolecule_smLincsID: LSM-5674', 'smallmolecule_smName: JW-7-24-1', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.22188	0.013879	-0.13484	0.0020607
('Dasatinib 84', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.67575	0.044267	0.62229	0.056221
('Dasatinib 85', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.32162	0.043879	0.060959	0.071325
('Dasatinib 86', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.38197	0.078371	0.19095	0.11832
('Dasatinib 87', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.2748	0.053332	-0.032006	0.08577
('Dasatinib 88', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.2621	0.064714	-0.02953	0.10751
('Dasatinib 89', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.28184	0.069359	-0.022605	0.11456
('Dasatinib 90', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.24961	0.05734	-0.053322	0.090335
('Dasatinib 91', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.28289	0.061034	-0.018121	0.096675
('Dasatinib 92', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.2615	0.063969	-0.030502	0.103
('Dasatinib 93', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.26758	0.059436	-0.048363	0.099798
('Dasatinib 94', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.26936	0.06323	-0.014047	0.10517
('Dasatinib 95', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10020', 'smallmolecule_smLincsID: LSM-1020', 'smallmolecule_smName: Dasatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.21782	0.046101	-0.151	0.079926
('Tozasertib 96', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.30821	0.022324	0.070434	0.0096966
('Tozasertib 97', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.3057	0.024823	0.065644	0.013646
('Tozasertib 98', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.30978	0.031559	0.072315	0.025272
('Tozasertib 99', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.31307	0.020038	0.079387	0.012573
('Tozasertib 100', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.31186	0.02641	0.076837	0.015123
('Tozasertib 101', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10021', 'smallmolecule_smLincsID: LSM-1021', 'smallmolecule_smName: Tozasertib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.29161	0.015848	0.03943	0.0047718
('Imatinib 102', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0582	0.044411	1.0614	0.048613
('Imatinib 103', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1.0771	0.04892	1.08	0.050676
('Imatinib 104', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1.0724	0.038394	1.0782	0.043793
('Imatinib 105', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1.0588	0.030566	1.0633	0.032835
('Imatinib 106', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1.0345	0.039081	1.0355	0.043389
('Imatinib 107', 'smallmolecule_smSalt: 103', 'smallmolecule_smCenterCompoundID: 10023', 'smallmolecule_smLincsID: LSM-1023', 'smallmolecule_smName: Imatinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.91284	0.018333	0.90045	0.022283
('NVP-TAE684 108', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.64511	0.085662	0.55319	0.12816
('NVP-TAE684 109', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.36211	0.027782	0.13301	0.074533
('NVP-TAE684 110', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.28326	0.022327	-0.010691	0.068284
('NVP-TAE684 111', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.2342	0.014414	-0.10849	0.030684
('NVP-TAE684 112', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.22477	0.019603	-0.12906	0.012389
('NVP-TAE684 113', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10024', 'smallmolecule_smLincsID: LSM-1024', 'smallmolecule_smName: NVP-TAE684', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.1975	0.047631	-0.19839	0.10573
('CGP60474 114', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.93594	0.064241	0.92502	0.074394
('CGP60474 115', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.15097	0.010559	-0.30164	0.020429
('CGP60474 116', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.17133	0.0064084	-0.21778	0.041152
('CGP60474 117', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.14806	0.016225	-0.31037	0.025464
('CGP60474 118', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.13198	0.0299	-0.3274	0.052615
('CGP60474 119', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.15179	0.023552	-0.30309	0.040185
('CGP60474 120', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.13683	0.039075	-0.32185	0.076938
('CGP60474 121', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.13681	0.017671	-0.34191	0.02705
('CGP60474 122', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.12391	0.031601	-0.35473	0.061469
('CGP60474 123', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.12784	0.027906	-0.37216	0.053996
('CGP60474 124', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.11703	0.030115	-0.37392	0.059282
('CGP60474 125', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10025', 'smallmolecule_smLincsID: LSM-1025', 'smallmolecule_smName: CGP60474', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.08944	0.018482	-0.48445	0.035815
('PD173074 126', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0921	0.037914	1.0978	0.037923
('PD173074 127', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1.0689	0.014917	1.0759	0.016495
('PD173074 128', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	1.0366	0.039368	1.0406	0.04514
('PD173074 129', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	1.0922	0.032354	1.1014	0.038217
('PD173074 130', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	1.0939	0.062114	1.1007	0.069341
('PD173074 131', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10026', 'smallmolecule_smLincsID: LSM-1026', 'smallmolecule_smName: PD173074', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.64844	0.0789	0.57177	0.090453
('Crizotinib 132', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.7874	0.0408	0.76216	0.040407
('Crizotinib 133', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.77712	0.03507	0.7475	0.045111
('Crizotinib 134', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP5')	0.67483	0.046539	0.6182	0.070346
('Crizotinib 135', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP5')	0.48427	0.051213	0.35066	0.096183
('Crizotinib 136', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP5')	0.29805	0.0057555	0.046841	0.027388
('Crizotinib 137', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10027', 'smallmolecule_smLincsID: LSM-1027', 'smallmolecule_smName: Crizotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP5')	0.18966	0.010995	-0.17395	0.037377
('BMS345541 138', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0542	0.029635	1.0619	0.033481
('BMS345541 139', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1.0006	0.031752	1.003	0.034899
('BMS345541 140', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.89947	0.026336	0.88252	0.033248
('BMS345541 141', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 1.11', 'ljpLibraryPlate: LJP6')	0.60301	0.048793	0.50188	0.083624
('BMS345541 142', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 3.33', 'ljpLibraryPlate: LJP6')	0.29637	0.033459	0.013575	0.071787
('BMS345541 143', 'smallmolecule_smSalt: 102', 'smallmolecule_smCenterCompoundID: 10028', 'smallmolecule_smLincsID: LSM-1028', 'smallmolecule_smName: BMS345541', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 10', 'ljpLibraryPlate: LJP6')	0.13875	0.039676	-0.34792	0.081483
('KIN001-043 144', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.96406	0.03197	0.9569	0.036592
('KIN001-043 145', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.88316	0.034341	0.8644	0.043438
('KIN001-043 146', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10031', 'smallmolecule_smLincsID: LSM-1031', 'smallmolecule_smName: KIN001-043', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'smallMolConcentration: 0.37', 'ljpLibraryPlate: LJP6')	0.85838	0.047978	0.83732	0.057082
