	('maxDose(log10) 0',)	('goodnessOfFit 1',)	('EC50(log10) 2',)	('IC50(log10) 3',)	('GI50(log10) 4',)	('hillSlope 5',)	('E_inf 6',)	('E_max 7',)	('areaUnderCurve 8',)
('Tozasertib 97', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 184A1', 'clCenterSpecificID: 51088')	-4.0	0.951	-5.114	-5.1141	-5.7005	0.5227	2.1e-16	0.20736	6.6019
('Tozasertib 98', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-4.0	0.9463	-6.03	-5.7835	-6.1471	0.6227	0.1488	0.19275	6.195
('Tozasertib 99', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: MX1', 'clCenterSpecificID: 51090')	-4.0	0.9705	-6.167	-6.1448	-6.4119	2.778	0.06746	0.067461	5.4849
('Tozasertib 100', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')	-4.0	0.9604	-4.217	-4.2169	-4.4951	1.303	9.79e-13	0.34278	8.1597
('Tozasertib 101', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: 600MPE', 'clCenterSpecificID: 51092')									
('Tozasertib 102', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC2185', 'clCenterSpecificID: 51093')									
('Tozasertib 103', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: HCC3153', 'clCenterSpecificID: 51094')	-4.0	0.9569	-4.564	-4.533	-4.6594	3.999	0.1242	0.12904	7.887
('Tozasertib 104', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: LY2', 'clCenterSpecificID: 51095')	-4.0	0.7365	-5.046	-5.0458	-6.0259	0.4839	1.43e-16	0.23772	6.2912
('Tozasertib 105', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smCenterSampleID: 5.0', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: ZR75B', 'clCenterSpecificID: 51096')									
('Imatinib 106', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MCF7', 'clCenterSpecificID: 50029')	-3.248	0.9699	-4.589	-4.5889	-4.7959	2.04	1.23e-16	0.001853	6.5013
('Imatinib 107', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')	-3.248	0.9738	-4.532	-4.5315	-4.6358	2.5155	0.001821	0.0028757	6.3929
('Imatinib 108', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-3.248	0.8984	-4.686	-4.6859	-4.8678	1.677	2.86e-14	0.0020919	6.0114
('Imatinib 109', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: AU565', 'clCenterSpecificID: 50091')	-3.248	0.9768	-4.647	-4.6466	-4.7322	2.287	1.51e-16	0.00065395	6.4509
('Imatinib 110', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: BT-20', 'clCenterSpecificID: 50105')	-3.248	0.9642	-4.561	-4.5611	-4.8484	1.975	1.59e-16	0.0027767	6.4287
('Imatinib 111', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: BT-474', 'clCenterSpecificID: 50106')	-3.248	0.97185	-4.3865	-4.3844	-4.5539	3.5015	0.007073	0.0071779	7.1381
('Imatinib 112', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: BT-483', 'clCenterSpecificID: 50107')	-3.248	0.9598	-4.321	-4.3198	-4.5408	3.431	0.005362	0.0055688	6.5886
('Imatinib 113', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: BT-549', 'clCenterSpecificID: 50108')	-3.248	0.9758	-4.503	-4.5034	-4.5287	3.763	1.31e-16	2.56e-05	6.9489
('Imatinib 114', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: CAMA-1', 'clCenterSpecificID: 50131')	-3.248	0.98885	-4.586	-4.5847	-4.7328	3.197	0.005625	0.005901	6.5864
('Imatinib 115', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC1143', 'clCenterSpecificID: 50205')	-3.248	0.9749	-4.503	-4.5032	-4.5783	3.503	0.0006418	0.00068183	6.7375
('Imatinib 116', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC1395', 'clCenterSpecificID: 50206')	-3.248	0.9806	-4.5505	-4.5496	-4.7202	3.8375	0.003151	0.0031617	6.641
('Imatinib 117', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC1419', 'clCenterSpecificID: 50207')	-3.248	0.9854	-4.4645	-4.4631	-4.6953	3.8055	0.0051235	0.0051487	6.7375
('Imatinib 118', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC1428', 'clCenterSpecificID: 50208')	-3.248	0.98665	-4.531	-4.5302	-4.744	2.5995	4.58e-14	0.00066277	6.6634
('Imatinib 119', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC1569', 'clCenterSpecificID: 50210')	-3.248	0.9764	-4.592	-4.5922	-4.7569	1.847	1.8e-16	0.0035707	6.4402
('Imatinib 120', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC1806', 'clCenterSpecificID: 50211')	-3.248	0.9836	-5.141	-5.1337	-5.2206	2.345	0.01956	0.019596	5.7534
('Imatinib 121', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC1937', 'clCenterSpecificID: 50212')	-3.248	0.9771	-4.572	-4.5718	-4.6962	2.466	5.39e-14	0.0005437	6.387
('Imatinib 122', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC1954', 'clCenterSpecificID: 50213')	-3.248	0.9816	-4.923	-4.9208	-5.0391	2.28	0.009313	0.009855	6.1273
('Imatinib 123', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC202', 'clCenterSpecificID: 50214')	-3.248	0.9758	-4.518	-4.5184	-4.8428	2.306	6.77e-14	0.0011746	6.4927
('Imatinib 124', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC38', 'clCenterSpecificID: 50216')	-3.248	0.98255	-4.4495	-4.4491	-4.5222	3.797	0.001095	0.0011252	6.8741
('Imatinib 125', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC70', 'clCenterSpecificID: 50219')	-3.248	0.9722	-4.526	-4.5261	-4.7307	2.446	8.69e-14	0.00074718	6.5545
('Imatinib 126', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: Hs 578T', 'clCenterSpecificID: 50238')	-3.248	0.7789	-4.2235	-4.2235	-4.2478	3.995	1.22e-16	0.00013106	8.6178
('Imatinib 127', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MB 157', 'clCenterSpecificID: 50324')	-3.248	0.9257	-4.625	-4.6237	-4.682	3.987	0.003943	0.0039462	6.5279
('Imatinib 128', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-3.248	0.9236	-4.277	-4.2771	-4.5481	1.662	2.22e-16	0.019107	6.5153
('Imatinib 129', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')	-3.248	0.9862	-4.566	-4.5652	-4.7246	3.0205	0.003279	0.0035799	6.6366
('Imatinib 130', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')	-3.248	0.97	-4.832	-4.8324	-5.2006	1.417	2.22e-16	0.0056559	5.9697
('Imatinib 131', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-3.248	0.9895	-4.462	-4.46	-4.6177	3.879	0.005355	0.0053748	6.8426
('Imatinib 132', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-3.248	0.9531	-4.556	-4.5561	-4.7613	1.56	2.22e-16	0.0090238	6.5352
('Imatinib 133', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-3.248	0.9413	-4.7725	-4.7724	-5.0029	1.587	1.59e-16	0.00464	5.9356
('Imatinib 134', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')	-3.248	0.9814	-4.8485	-4.8453	-4.934	2.491	0.0089485	0.0090878	6.064
('Imatinib 135', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: T47D', 'clCenterSpecificID: 50541')	-3.248	0.9692	-4.6025	-4.6027	-4.8049	1.7295	1.17e-13	0.0054027	6.3271
('Imatinib 136', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: UACC-812', 'clCenterSpecificID: 50556')									
('Imatinib 137', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: UACC-893', 'clCenterSpecificID: 50557')	-3.248	0.97975	-4.552	-4.552	-4.7819	2.583	1.42e-16	0.00048835	6.4846
('Imatinib 138', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: ZR-75-1', 'clCenterSpecificID: 50574')	-3.248	0.9815	-4.436	-4.4347	-4.5865	3.226	0.006485	0.0066306	6.9338
('Imatinib 139', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: 184B5', 'clCenterSpecificID: 50576')	-3.248	0.9858	-4.511	-4.5095	-4.6356	2.8725	0.0038785	0.0041843	6.5564
('Imatinib 140', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC1187', 'clCenterSpecificID: 50578')	-3.248	0.9652	-4.473	-4.471	-4.6078	3.224	4.73e-13	0.0071917	6.576
('Imatinib 141', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MCF 10A', 'clCenterSpecificID: 50583')	-3.248	0.9742	-4.444	-4.4439	-4.4645	3.388	0.001093	0.0011812	6.6451
('Imatinib 142', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MCF 10F', 'clCenterSpecificID: 50584')	-3.248	0.9698	-4.5325	-4.5326	-4.7421	2.4455	1.74e-16	0.0058546	6.8208
('Imatinib 143', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: SUM1315MO2', 'clCenterSpecificID: 51081')	-3.248	0.9796	-4.484	-4.4815	-4.6214	3.999	0.01129	0.011301	7.1171
('Imatinib 144', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: SUM149PT', 'clCenterSpecificID: 51082')	-3.248	0.9675	-4.636	-4.6354	-4.6881	3.988	0.005153	0.0051559	6.6917
('Imatinib 145', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: SUM159PT', 'clCenterSpecificID: 51083')	-3.248	0.9729	-4.907	-4.9068	-4.9231	3.993	1.92e-16	2.38e-07	6.3954
('Imatinib 146', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: SUM185PE', 'clCenterSpecificID: 51084')	-3.248	0.9547	-4.686	-4.6852	-4.8795	2.586	0.003639	0.0038289	6.6258
('Imatinib 147', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: SUM225CWN', 'clCenterSpecificID: 51085')	-3.248	0.9795	-4.6485	-4.6481	-4.8764	2.4335	1.55e-16	0.00060922	6.5728
('Imatinib 148', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: SUM229PE', 'clCenterSpecificID: 51086')	-3.248	0.97025	-4.816	-4.8152	-5.0068	2.658	0.004239	0.0066153	6.0697
('Imatinib 149', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: SUM52PE', 'clCenterSpecificID: 51087')	-3.248	0.954	-4.3815	-4.3815	-4.6729	1.3085	4.99e-14	0.034832	6.8613
('Imatinib 150', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: 184A1', 'clCenterSpecificID: 51088')	-3.248	0.9625	-4.616	-4.6155	-4.8241	2.084	5.44e-14	0.0014107	6.7905
('Imatinib 151', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MCF12A', 'clCenterSpecificID: 51089')	-3.248	0.9668	-4.4045	-4.4029	-4.4579	3.4055	0.0060395	0.0065442	6.9187
('Imatinib 152', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: MX1', 'clCenterSpecificID: 51090')	-3.248	0.9774	-4.476	-4.4755	-4.6443	3.011	1.47e-16	0.00020129	6.5052
('Imatinib 153', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: T47DKBLUC', 'clCenterSpecificID: 51091')	-3.248	0.9797	-4.51	-4.5088	-4.6622	2.98	0.001074	0.0012581	6.6157
('Imatinib 154', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: 600MPE', 'clCenterSpecificID: 51092')	-3.248	0.9755	-4.464	-4.4633	-4.6059	3.9995	0.002801	0.0028155	6.8482
('Imatinib 155', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC2185', 'clCenterSpecificID: 51093')	-3.248	0.9751	-4.487	-4.4872	-4.7372	3.14	0.0003266	0.00048025	6.4589
('Imatinib 156', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: HCC3153', 'clCenterSpecificID: 51094')	-3.248	0.9889	-4.402	-4.4023	-4.5682	3.198	1.12e-09	0.0020611	6.6772
('Imatinib 157', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: LY2', 'clCenterSpecificID: 51095')	-3.248	0.9694	-4.588	-4.5861	-4.6676	3.996	0.007975	0.0079794	6.7721
('Imatinib 158', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: ZR75B', 'clCenterSpecificID: 51096')	-3.248	0.9857	-4.505	-4.5001	-4.5944	3.19	0.01811	0.018206	6.96
('PD173074 159', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: MCF7', 'clCenterSpecificID: 50029')									
('PD173074 160', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: SK-BR-3', 'clCenterSpecificID: 50057')	-4.4776	0.9752	-4.9176	-4.9175	-4.9949	1.92	2.2e-16	0.12509	7.7539
('PD173074 161', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: MDA-MB-231', 'clCenterSpecificID: 50058')	-4.4776								8.7436
('PD173074 162', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: AU565', 'clCenterSpecificID: 50091')	-4.4776	0.938	-5.1283	-5.0852	-5.1382	3.997	0.1635	0.16559	8.055
('PD173074 163', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: BT-20', 'clCenterSpecificID: 50105')	-4.4776	0.8027	-5.004	-4.8614	-5.1114	4.0	0.3654	0.37034	8.6204
('PD173074 164', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: BT-474', 'clCenterSpecificID: 50106')	-4.4776	0.9345	-4.846	-4.8119	-4.9537	4.0	0.1345	0.16265	8.344
('PD173074 165', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: BT-483', 'clCenterSpecificID: 50107')									
('PD173074 166', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: BT-549', 'clCenterSpecificID: 50108')	-4.4776	0.9379	-5.0909	-5.0909	-5.1028	2.584	2.22e-16	0.025353	7.9333
('PD173074 167', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: CAMA-1', 'clCenterSpecificID: 50131')									
('PD173074 168', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC1143', 'clCenterSpecificID: 50205')	-4.4776	0.9259	-4.8148	-4.7874	-4.9249	1.755	0.05239	0.2455	8.1306
('PD173074 169', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC1395', 'clCenterSpecificID: 50206')	-4.4776	0.9577	-5.5896	-5.5895	-6.155	0.5878	1.36e-16	0.1817	6.7448
('PD173074 170', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC1419', 'clCenterSpecificID: 50207')	-4.4776	0.7651	-4.2805	-4.4776	-5.1784	1.1525	4.99e-11	0.6269	8.3843
('PD173074 171', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC1428', 'clCenterSpecificID: 50208')	-4.4776	0.9713	-5.1368	-5.1367	-5.3555	2.302	1.28e-16	0.029486	7.2858
('PD173074 172', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC1569', 'clCenterSpecificID: 50210')	-4.4776	0.97	-5.0968	-5.0968	-5.2307	2.346	1.43e-16	0.034057	7.3805
('PD173074 173', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC1806', 'clCenterSpecificID: 50211')	-4.4776	0.965	-5.3356	-5.319	-5.4146	2.086	0.03808	0.053444	6.9584
('PD173074 174', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC1937', 'clCenterSpecificID: 50212')	-4.4776	0.9241	-5.0937	-5.0084	-5.1118	3.998	0.2718	0.2743	8.2801
('PD173074 175', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC1954', 'clCenterSpecificID: 50213')	-4.4776	0.85825	-5.0158	-5.0157	-5.1428	2.4195	7.76e-14	0.058377	7.4943
('PD173074 176', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC202', 'clCenterSpecificID: 50214')									
('PD173074 177', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC38', 'clCenterSpecificID: 50216')	-4.4776	0.8959	-5.176	-5.176	-5.5642	1.0688	1.2e-13	0.16847	7.2602
('PD173074 178', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: HCC70', 'clCenterSpecificID: 50219')	-4.4776	0.9384	-5.0984	-4.9585	-5.1367	3.997	0.3619	0.364	8.0867
('PD173074 179', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: Hs 578T', 'clCenterSpecificID: 50238')	-4.4776	0.9605	-5.188	-5.188	-5.3134	1.444	1.43e-16	0.086111	7.6732
('PD173074 180', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: MB 157', 'clCenterSpecificID: 50324')									
('PD173074 181', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: MDA-MB-134-VI', 'clCenterSpecificID: 50327')	-4.4776								8.7443
('PD173074 182', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: MDA-MB-157', 'clCenterSpecificID: 50328')	-4.4776	0.9652	-5.2152	-5.2151	-5.701	1.186	1.3e-16	0.11773	7.2226
('PD173074 183', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: MDA-MB-175-VII', 'clCenterSpecificID: 50329')									
('PD173074 184', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: MDA-MB-361', 'clCenterSpecificID: 50331')	-4.4776	0.9419	-4.7887	-4.7887	-4.655	3.302	1.72e-13	0.085833	8.3236
('PD173074 185', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: MDA-MB-436', 'clCenterSpecificID: 50333')	-4.4776	0.9492	-5.0428	-5.0428	-5.1998	1.548	1.14e-16	0.11765	7.5471
('PD173074 186', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: MDA-MB-453', 'clCenterSpecificID: 50334')	-4.4776	0.9366	-5.2996	-5.2994	-5.7672	0.7388	4.09e-13	0.18308	7.2012
('PD173074 187', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: MDA-MB-468', 'clCenterSpecificID: 50335')									
('PD173074 188', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: T47D', 'clCenterSpecificID: 50541')									
('PD173074 189', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: UACC-812', 'clCenterSpecificID: 50556')	-4.4776	0.77505	-4.8157	-4.8156	-5.14	2.299	1.64e-16	0.20056	7.6218
('PD173074 190', 'smCenterCompoundID: 10026', 'smSalt: 101', 'smCenterSampleID: 3.0', 'smLincsID: LSM-1026', 'smName: PD173074', 'clName: UACC-893', 'clCenterSpecificID: 50557')	-4.4776	0.9179	-5.1694	-5.0262	-5.2578	3.921	0.3628	0.36403	8.1138
