	('seedingDensity 0', 'datapointUnit: ')	('iC50 1', 'datapointUnit: uM')	('emaxIC 2', 'datapointUnit: ')	('aUCIC 3', 'datapointUnit: ')	('curveFitIC 4', 'datapointUnit: ')	('r2Ic 5', 'datapointUnit: ')	('eC50IC 6', 'datapointUnit: uM')	('einfIC 7', 'datapointUnit: ')	('hillCoefficientIC 8', 'datapointUnit: ')	('gR50 9', 'datapointUnit: uM')	('gRmax 10', 'datapointUnit: ')	('aUCGR 11', 'datapointUnit: ')	('curveFitGR 12', 'datapointUnit: ')	('r2Gr 13', 'datapointUnit: ')	('eC50GR 14', 'datapointUnit: uM')	('gRinf 15', 'datapointUnit: ')	('hillCoefficientGR 16', 'datapointUnit: ')
('555714 59', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	5000.0	inf	0.56979	0.26705		0.9777	0.119	0.54949	0.80295	1.6327	0.45832	0.33039		0.9743	0.1344	0.43166	0.79689
('555715 60', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	156.25	inf	1.05	-0.05		-inf	inf	1.05	0.0	inf	1.05	-0.05		-inf	inf	1.05	0.0
('555716 61', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	312.5	inf	1.05	-0.05		-inf	inf	1.05	0.0	inf	1.05	-0.05		-inf	inf	1.05	0.0
('555717 62', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	625.0	inf	1.05	-0.05		-inf	inf	1.05	0.0	inf	1.05	-0.05		-inf	inf	1.05	0.0
('555718 63', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	1250.0	inf	1.05	-0.04936		-1058.7016	inf	1.05	0.0	inf	1.05	-0.049735		-6242.1833	inf	1.05	0.0
('555719 64', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	2500.0	inf	1.05	-0.041355		-5.217	inf	1.05	0.0	inf	1.05	-0.041303		-5.064	inf	1.05	0.0
('555720 65', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10097', 'smallmolecule_smLincsID: LSM-1097', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Erlotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	5000.0	inf	0.9493	-0.027235		-0.2401	inf	0.9493	0.0	inf	0.94495	-0.02769		-0.1701	inf	0.94495	0.0
('555721 66', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	156.25	inf	1.05	-0.044908		-14.2993	inf	1.05	0.0	inf	1.05	-0.05		-inf	inf	1.05	0.0
('555722 67', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	312.5	inf	1.05	-0.044806		-2.4981	inf	1.05	0.0	inf	1.05	-0.042342		-0.9184	inf	1.05	0.0
('555723 68', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	625.0	inf	0.52619	0.017455		0.3603	inf	0.52619	0.0	inf	0.5507	0.016595		0.3516	inf	0.5507	0.0
('555724 69', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	1250.0	inf	0.4669	0.037351		0.9403	5.3818	0.51843	4.9987	inf	0.48122	0.033186		0.9223	5.386	0.54716	4.9989
('555725 70', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	2500.0	6.6038	0.35574	0.085795		0.9861	4.8647	0.39153	5.0	6.2994	0.28301	0.090734		0.9781	5.0209	0.33918	5.0
('555726 71', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	5000.0	7.0822	0.42509	0.10018		0.9827	4.6275	0.44045	5.0	5.8021	0.21694	0.11669		0.9848	5.0783	0.24319	5.0
('555727 72', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	156.25	0.0118	0.34338	0.36677		0.9378	0.0039	0.40117	1.4706	0.0102	0.17944	0.42475		0.9224	0.0055	0.26887	1.2484
('555728 73', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	312.5	0.0025	0.37912	0.44896		0.9875	0.0016	0.38161	3.2485	0.0024	0.31647	0.49029		0.9849	0.0018	0.31673	3.1935
('555729 74', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	625.0	0.0032	0.28307	0.47954		0.9776	0.002	0.31885	2.1212	0.0038	0.18218	0.52151		0.9674	0.0026	0.22901	1.6034
('555730 75', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	1250.0	0.0056	0.27204	0.45486		0.9937	0.0034	0.29269	1.7451	0.0065	0.1932	0.47903		0.9948	0.0045	0.21938	1.549
('555731 76', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	2500.0	0.0081	0.29224	0.43079		0.9901	0.0045	0.29937	1.5351	0.0077	0.18147	0.47945		0.9924	0.0055	0.19025	1.4104
('555732 77', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	5000.0	0.0339	0.43259	0.29811		0.9795	0.0074	0.45527	1.5883	0.0145	0.226	0.37981		0.9745	0.0092	0.2639	1.6699
('555733 78', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	156.25	inf	0.5783	0.03569		0.8895	4.6073	0.58614	1.6763	9.0102	0.24344	0.087121		0.9311	8.7921	0.01495	1.239
('555734 79', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	312.5	inf	0.54942	0.10508		0.9384	0.9978	0.62466	5.0	1.3492	0.24821	0.187		0.952	1.0201	0.37645	5.0
('555735 80', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	625.0	inf	0.46201	0.10151		0.9655	1.9384	0.50277	2.4667	2.4716	0.11741	0.17994		0.9796	2.0393	0.18464	2.3974
('555736 81', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	1250.0	inf	0.48106	0.14888		0.975	0.8281	0.5256	2.4434	1.617	0.30721	0.19755		0.9795	0.8858	0.37107	2.2518
('555737 82', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	2500.0	inf	0.46123	0.17367		0.9738	0.7745	0.51425	4.6751	1.1554	0.32753	0.21291		0.9748	0.7904	0.40313	4.3222
('555738 83', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10135', 'smallmolecule_smLincsID: LSM-1135', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Linsitinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	5000.0	3.605	0.43713	0.19739		0.9818	0.6041	0.47675	1.7175	1.3906	0.2831	0.24198		0.983	0.6888	0.33595	1.5862
('555739 84', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	156.25	0.1429	0.30092	0.3911		0.9764	0.0605	0.31548	1.1591	0.0559	0.10657	0.49697		0.9554	0.0419	0.17554	1.5039
('555740 85', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	312.5	0.0515	0.26665	0.49339		0.9841	0.024	0.28258	1.0928	0.0345	0.12011	0.58521		0.9886	0.024	0.14428	0.93167
('555741 86', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	625.0	0.0409	0.23963	0.53079		0.9599	0.0175	0.25824	0.8543	0.0335	0.10881	0.59915		0.9661	0.0229	0.12173	0.7291
('555742 87', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	1250.0	0.0606	0.21604	0.51595		0.9919	0.0252	0.22366	0.67584	0.0526	0.087284	0.56454		0.9926	0.0387	0.078148	0.55069
('555743 88', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	2500.0	0.1051	0.25781	0.48523		0.9906	0.0269	0.23739	0.47192	0.0623	0.11853	0.54747		0.9793	0.0425	0.075359	0.42672
('555744 89', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	5000.0	1.1188	0.36184	0.36999		0.9862	0.3928	0.13698	0.30585	0.2092	0.10094	0.48464		0.9783	1.4404	-0.38167	0.29395
('555745 90', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	156.25	0.1139	0.33038	0.40898		0.9545	0.0298	0.38829	1.1191	0.0271	-0.25009	0.74405		0.9608	0.0326	-0.12848	1.2421
('555746 91', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	312.5	0.0393	0.37596	0.45487		0.9387	0.0158	0.37853	1.5563	0.0155	-0.069157	0.77828		0.9457	0.0169	-0.069074	1.4794
('555747 92', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	625.0	0.0417	0.31654	0.43755		0.9889	0.0239	0.35787	2.258	0.0235	-0.1594	0.7308		0.99	0.0253	-0.081994	2.0443
('555748 93', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	1250.0	0.0267	0.28226	0.49452		0.9939	0.0186	0.30656	2.6231	0.0204	-0.041755	0.7013		0.994	0.0204	0.0038307	2.5133
('555749 94', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	2500.0	0.0342	0.26625	0.48635		0.9911	0.0234	0.28845	2.2834	0.0278	-0.0070253	0.64852		0.9912	0.027	0.02774	1.9663
('555750 95', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10236', 'smallmolecule_smLincsID: LSM-5870', 'smallmolecule_smCenterSampleID: 2', 'smallmolecule_smName: 17-AAG', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 10')	5000.0	0.0592	0.27233	0.44654		0.9954	0.0364	0.29906	1.8725	0.0449	-0.0042747	0.59335		0.995	0.0427	0.042507	1.7504
('555751 96', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	156.25	0.4037	0.31598	0.29808		0.891	0.1682	0.48299	3.861	0.2702	0.13897	0.34316		0.8235	0.1918	0.40281	4.7839
('555752 97', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	312.5	0.4304	0.3845	0.30717		0.9885	0.1611	0.4359	2.09	0.3164	0.31615	0.33071		0.9813	0.1613	0.39405	2.3025
('555753 98', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	625.0	0.4031	0.35911	0.33858		0.9718	0.1524	0.40874	1.7483	0.3377	0.32986	0.32932		0.9721	0.1721	0.41083	2.5579
('555754 99', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	1250.0	0.4556	0.38283	0.31753		0.9874	0.158	0.40989	1.618	0.4883	0.37112	0.30585		0.9842	0.1834	0.41015	1.7533
('555755 100', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	2500.0	0.7069	0.46284	0.29908		0.9869	0.1128	0.47752	1.6899	0.5253	0.42734	0.30804		0.9873	0.1296	0.44615	1.592
('555756 101', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10071', 'smallmolecule_smLincsID: LSM-1071', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Palbociclib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	5000.0	inf	0.57949	0.2565		0.989	0.0904	0.57976	1.5694	0.5673	0.47318	0.32457		0.9914	0.0895	0.47101	1.5424
('555757 102', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	156.25	inf	1.05	-0.040816		-3.7596	inf	1.05	0.0	inf	1.05	-0.029445		-0.4499	inf	1.05	0.0
('555758 103', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	312.5	inf	1.05	-0.040603		-3.5614	inf	1.05	0.0	inf	1.05	-0.031444		-0.938	inf	1.05	0.0
('555759 104', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	625.0	inf	0.69281	0.021422		0.5716	4.3252	0.82602	5.0	inf	0.7668	0.023241		0.1977	inf	0.7668	0.0
('555760 105', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	1250.0	inf	0.499	0.047132		0.9489	5.1831	0.53699	5.0	inf	0.53358	0.041693		0.9317	5.2602	0.58114	5.0
('555761 106', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	2500.0	7.6166	0.40128	0.063959		0.9737	5.5603	0.39633	5.0	7.1168	0.34157	0.069111		0.9758	5.6539	0.34177	5.0
('555762 107', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10099', 'smallmolecule_smLincsID: LSM-1099', 'smallmolecule_smCenterSampleID: 1', 'smallmolecule_smName: Nilotinib', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	5000.0	7.8049	0.42668	0.070913		0.9868	5.1893	0.43504	5.0	6.2487	0.21811	0.087079		0.9844	5.5129	0.23274	4.9998
('555763 108', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	156.25	0.0096	0.30127	0.41319		0.9709	0.0041	0.33714	1.3363	0.0078	0.12529	0.47131		0.9495	0.0058	0.20065	1.7535
('555764 109', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	312.5	0.0059	0.24923	0.46158		0.9755	0.0029	0.30147	1.3044	0.0064	0.072846	0.51444		0.9781	0.0048	0.1541	1.2126
('555765 110', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	625.0	0.0034	0.26665	0.51064		0.9847	0.002	0.27692	1.458	0.004	0.17513	0.54351		0.9837	0.0029	0.18384	1.3794
('555766 111', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	1250.0	0.0041	0.25878	0.47572		0.9864	0.0028	0.28633	2.201	0.005	0.1764	0.50375		0.9812	0.0036	0.20362	1.6797
('555767 112', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	2500.0	0.0082	0.28362	0.40118		0.9871	0.0048	0.32422	1.9524	0.0082	0.15838	0.44825		0.985	0.0058	0.21533	1.6697
('555768 113', 'smallmolecule_smSalt: 999', 'smallmolecule_smCenterCompoundID: 10102', 'smallmolecule_smLincsID: LSM-1102', 'smallmolecule_smCenterSampleID: 6', 'smallmolecule_smName: Taxol', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	5000.0	0.0339	0.43126	0.27152		0.9745	0.0089	0.47513	2.2363	0.0198	0.2177	0.34974		0.9638	0.0125	0.26491	1.6313
('555769 114', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	156.25	0.0996	0.28485	0.43915		0.966	0.0368	0.30283	0.93553	0.0587	0.093565	0.54121		0.9702	0.0425	0.11726	0.82857
('555770 115', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	312.5	0.0888	0.23296	0.48003		0.9674	0.038	0.22582	0.70892	0.0543	0.047872	0.57479		0.981	0.0513	0.016473	0.57334
('555771 116', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	625.0	0.0701	0.21581	0.51516		0.9789	0.0364	0.1825	0.69199	0.0551	0.078692	0.57917		0.984	0.0513	0.021583	0.62408
('555772 117', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	1250.0	0.072	0.21228	0.50195		0.9899	0.031	0.21647	0.67358	0.0701	0.088562	0.54205		0.9893	0.0544	0.065367	0.55526
('555773 118', 'smallmolecule_smSalt: 101', 'smallmolecule_smCenterCompoundID: 10146', 'smallmolecule_smLincsID: LSM-1147', 'smallmolecule_smCenterSampleID: 3', 'smallmolecule_smName: GSK2126458', 'cell_clCenterSpecificID: 50029', 'cell_clName: MCF7', 'replicate: 11')	2500.0	0.1509	0.24539	0.45509		0.9919	0.05	0.22823	0.55167	0.1001	0.087098	0.51871		0.989	0.0891	0.027587	0.48692
