	('meanRelativeCellCountAfterTreatment 0',)	('standardErroroftheMeanforRelativeCellCountAfterTreatment 1',)	('meanRelativeGrowthRateAfterTreatment 2',)	('standardErroroftheMeanforRelativeGrowthRateAfterTreatment 3',)
('335094 98', 'smCenterCompoundID: 10119', 'smSalt: 101', 'smLincsID: LSM-1119', 'smName: SU11274', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0714	0.020966	1.1034	0.029765
('335095 99', 'smCenterCompoundID: 10141', 'smSalt: 101', 'smLincsID: LSM-1142', 'smName: TG 101348', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0545	0.017679	1.0784	0.024346
('335096 100', 'smCenterCompoundID: 10171', 'smSalt: 101', 'smLincsID: LSM-1172', 'smName: TGX221', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.94548	0.021304	0.91976	0.032853
('335097 101', 'smCenterCompoundID: 10079', 'smSalt: 101', 'smLincsID: LSM-1079', 'smName: Torin1', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.46129	0.04026	0.22162	0.04356
('335098 102', 'smCenterCompoundID: 10080', 'smSalt: 101', 'smLincsID: LSM-1080', 'smName: Torin2', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.29824	0.02075	-0.016102	0.019419
('335099 103', 'smCenterCompoundID: 10021', 'smSalt: 101', 'smLincsID: LSM-1021', 'smName: Tozasertib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.54515	0.034234	0.33948	0.059981
('335100 104', 'smCenterCompoundID: 10142', 'smSalt: 101', 'smLincsID: LSM-1143', 'smName: Trametinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.77884	0.022642	0.67969	0.031972
('335101 105', 'smCenterCompoundID: 10111', 'smSalt: 101', 'smLincsID: LSM-1111', 'smName: TWS119', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0314	0.015393	1.0462	0.023532
('335102 106', 'smCenterCompoundID: 10068', 'smSalt: 101', 'smLincsID: LSM-1068', 'smName: PLX4032', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.99402	0.023835	0.99072	0.0346
('335103 107', 'smCenterCompoundID: 10481', 'smSalt: 101', 'smLincsID: ', 'smName: Withaferin A', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.0483	0.022002	1.069	0.030558
('335104 108', 'smCenterCompoundID: 10481', 'smSalt: 101', 'smLincsID: ', 'smName: Withaferin A', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	1.0227	0.017467	1.0319	0.025049
('335105 109', 'smCenterCompoundID: 10064', 'smSalt: 101', 'smLincsID: LSM-1064', 'smName: WYE-125132', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.58996	0.078855	0.4103	0.10389
('335106 110', 'smCenterCompoundID: 10084', 'smSalt: 101', 'smLincsID: LSM-5970', 'smName: WZ3105', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	0.44039	0.031026	0.1872	0.062011
('335107 111', 'smCenterCompoundID: 10086', 'smSalt: 101', 'smLincsID: LSM-1086', 'smName: XMD11-50', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.88719	0.055937	0.83961	0.078488
('335108 112', 'smCenterCompoundID: 10149', 'smSalt: 102', 'smLincsID: LSM-1150', 'smName: Y39983', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.97456	0.0361	0.96503	0.051716
('335109 113', 'smCenterCompoundID: 10109', 'smSalt: 101', 'smLincsID: LSM-1109', 'smName: YM 201636', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP5')	1.074	0.017565	1.1064	0.023609
('335110 114', 'smCenterCompoundID: 10053', 'smSalt: 101', 'smLincsID: LSM-1053', 'smName: ZSTK474', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.04', 'ljpLibraryPlate: LJP6')	0.95673	0.015983	0.93779	0.022097
('335111 115', 'smCenterCompoundID: 10133', 'smSalt: 101', 'smLincsID: LSM-5742', 'smName: Afatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.81408	0.0048615	0.73072	0.0058436
('335112 116', 'smCenterCompoundID: 10035', 'smSalt: 101', 'smLincsID: LSM-1035', 'smName: Sigma A6730', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.89203	0.007767	0.84312	0.014379
('335113 117', 'smCenterCompoundID: 10011', 'smSalt: 101', 'smLincsID: LSM-1011', 'smName: Flavopiridol', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.27176	0.068731	-0.051454	0.079926
('335114 118', 'smCenterCompoundID: 10004', 'smSalt: 101', 'smLincsID: LSM-1004', 'smName: AT-7519', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.74888	0.13623	0.64322	0.19111
('335115 119', 'smCenterCompoundID: 10158', 'smSalt: 101', 'smLincsID: LSM-1159', 'smName: AZD 5438', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.71488	0.069246	0.59065	0.093157
('335116 120', 'smCenterCompoundID: 10059', 'smSalt: 101', 'smLincsID: LSM-1059', 'smName: AZD-6482', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.92528	0.039007	0.89398	0.055141
('335117 121', 'smCenterCompoundID: 10006', 'smSalt: 101', 'smLincsID: LSM-1006', 'smName: AZD7762', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.88026	0.06487	0.82816	0.090699
('335118 122', 'smCenterCompoundID: 10007', 'smSalt: 101', 'smLincsID: LSM-1007', 'smName: AZD8055', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.40874	0.052667	0.14584	0.061398
('335119 123', 'smCenterCompoundID: 10164', 'smSalt: 101', 'smLincsID: LSM-1165', 'smName: AZD8330', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.80079	0.021665	0.71257	0.026103
('335120 124', 'smCenterCompoundID: 10067', 'smSalt: 101', 'smLincsID: LSM-1067', 'smName: AZD1152-HQPA', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.68055	0.069836	0.53704	0.10008
('335121 125', 'smCenterCompoundID: 10041', 'smSalt: 101', 'smLincsID: LSM-1041', 'smName: BI-2536', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.21459	0.037782	-0.14007	0.075834
('335122 126', 'smCenterCompoundID: 10028', 'smSalt: 102', 'smLincsID: LSM-1028', 'smName: BMS345541', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.9549	0.026694	0.93501	0.037629
('335123 127', 'smCenterCompoundID: 10132', 'smSalt: 101', 'smLincsID: LSM-1132', 'smName: BMS-387032', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.38981	0.10395	0.12167	0.13605
('335124 128', 'smCenterCompoundID: 10234', 'smSalt: 101', 'smLincsID: LSM-4257', 'smName: GDC-0980', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.34186	0.040702	0.047989	0.045494
('335125 129', 'smCenterCompoundID: 10122', 'smSalt: 101', 'smLincsID: LSM-1122', 'smName: NVP-AEW541', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1.0391	0.010168	1.0563	0.014112
('335126 130', 'smCenterCompoundID: 10046', 'smSalt: 101', 'smLincsID: LSM-1046', 'smName: SB590885', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1.0124	0.016664	1.0181	0.023916
('335127 131', 'smCenterCompoundID: 10190', 'smSalt: 101', 'smLincsID: LSM-1191', 'smName: PIK-93', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1.0375	0.017487	1.0543	0.024815
('335128 132', 'smCenterCompoundID: 10031', 'smSalt: 101', 'smLincsID: LSM-1031', 'smName: KIN001-043', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.93288	0.0063371	0.9027	0.009411
('335129 133', 'smCenterCompoundID: 10233', 'smSalt: 101', 'smLincsID: LSM-4256', 'smName: BYL719', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.99792	0.024389	0.99777	0.035468
('335130 134', 'smCenterCompoundID: 10161', 'smSalt: 101', 'smLincsID: LSM-1162', 'smName: NVP-AUY922', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.29109	0.027025	-0.028828	0.059577
('335131 135', 'smCenterCompoundID: 10045', 'smSalt: 101', 'smLincsID: LSM-1045', 'smName: A443654', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.52851	0.1132	0.32325	0.15349
('335132 136', 'smCenterCompoundID: 10063', 'smSalt: 102', 'smLincsID: LSM-1063', 'smName: OSI-027', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.82286	0.049602	0.74616	0.068101
('335133 137', 'smCenterCompoundID: 10087', 'smSalt: 101', 'smLincsID: LSM-5577', 'smName: XMD11-85h', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.9363	0.052273	0.91063	0.074625
('335134 138', 'smCenterCompoundID: 10017', 'smSalt: 101', 'smLincsID: LSM-6015', 'smName: HG-6-64-01', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.92261	0.091637	0.89199	0.13002
('335135 139', 'smCenterCompoundID: 10039', 'smSalt: 101', 'smLincsID: LSM-5431', 'smName: WH-4-025', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.8061	0.042687	0.71801	0.063121
('335136 140', 'smCenterCompoundID: 10082', 'smSalt: 101', 'smLincsID: LSM-5545', 'smName: WZ-4-145', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.86363	0.047121	0.80497	0.064959
('335137 141', 'smCenterCompoundID: 10091', 'smSalt: 101', 'smLincsID: LSM-6299', 'smName: XMD16-144', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.55728	0.074474	0.36007	0.10148
('335138 142', 'smCenterCompoundID: 10177', 'smSalt: 101', 'smLincsID: LSM-1178', 'smName: Brivanib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.96083	0.0077799	0.94364	0.010267
('335139 143', 'smCenterCompoundID: 10147', 'smSalt: 101', 'smLincsID: LSM-1148', 'smName: NVP-BKM120', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.90287	0.051461	0.86148	0.071769
('335140 144', 'smCenterCompoundID: 10055', 'smSalt: 101', 'smLincsID: LSM-1055', 'smName: BX-912', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.9682	0.018707	0.95436	0.026668
('335141 145', 'smCenterCompoundID: 10120', 'smSalt: 102', 'smLincsID: LSM-1120', 'smName: Canertinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.88465	0.0091288	0.83333	0.010199
('335142 146', 'smCenterCompoundID: 10117', 'smSalt: 101', 'smLincsID: LSM-1117', 'smName: Celastrol', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1.0551	0.017266	1.0793	0.024281
('335143 147', 'smCenterCompoundID: 10025', 'smSalt: 101', 'smLincsID: LSM-1025', 'smName: CGP60474', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.26489	0.036508	-0.066548	0.067907
('335144 148', 'smCenterCompoundID: 10025', 'smSalt: 101', 'smLincsID: LSM-1025', 'smName: CGP60474', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.16549	0.016187	-0.21027	0.047296
('335145 149', 'smCenterCompoundID: 10180', 'smSalt: 101', 'smLincsID: LSM-1181', 'smName: CHIR-99021', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.92663	0.038964	0.89391	0.055263
('335146 150', 'smCenterCompoundID: 10010', 'smSalt: 101', 'smLincsID: LSM-1010', 'smName: CP724714', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.94737	0.013944	0.92362	0.020082
('335147 151', 'smCenterCompoundID: 10009', 'smSalt: 101', 'smLincsID: LSM-1009', 'smName: CP466722', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1.0458	0.017866	1.0663	0.025387
('335148 152', 'smCenterCompoundID: 10027', 'smSalt: 101', 'smLincsID: LSM-1027', 'smName: Crizotinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.9395	0.013199	0.91278	0.018235
('335149 153', 'smCenterCompoundID: 10140', 'smSalt: 101', 'smLincsID: LSM-1141', 'smName: CYT387', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.90712	0.020651	0.86593	0.028747
('335150 154', 'smCenterCompoundID: 10020', 'smSalt: 101', 'smLincsID: LSM-1020', 'smName: Dasatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.61894	0.0084655	0.44755	0.019662
('335151 155', 'smCenterCompoundID: 10020', 'smSalt: 101', 'smLincsID: LSM-1020', 'smName: Dasatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.44123	0.083051	0.19469	0.10783
('335152 156', 'smCenterCompoundID: 10127', 'smSalt: 101', 'smLincsID: LSM-1127', 'smName: Dovitinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.75746	0.056476	0.65178	0.075983
('335153 157', 'smCenterCompoundID: 10069', 'smSalt: 101', 'smLincsID: LSM-1069', 'smName: Enzastaurin', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1.0467	0.028726	1.0661	0.041154
('335154 158', 'smCenterCompoundID: 10097', 'smSalt: 101', 'smLincsID: LSM-1097', 'smName: Erlotinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.91238	0.02537	0.87445	0.034628
('335155 159', 'smCenterCompoundID: 10157', 'smSalt: 101', 'smLincsID: LSM-1158', 'smName: Foretinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.85405	0.064563	0.78489	0.098353
('335156 160', 'smCenterCompoundID: 10040', 'smSalt: 101', 'smLincsID: LSM-1040', 'smName: R406', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.95925	0.026152	0.93989	0.039143
('335157 161', 'smCenterCompoundID: 10047', 'smSalt: 101', 'smLincsID: LSM-1047', 'smName: GDC-0941', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.74141	0.030945	0.62587	0.041862
('335158 162', 'smCenterCompoundID: 10098', 'smSalt: 101', 'smLincsID: LSM-1098', 'smName: Gefitinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.9531	0.05473	0.93473	0.077923
('335159 163', 'smCenterCompoundID: 10108', 'smSalt: 101', 'smLincsID: LSM-1108', 'smName: Geldanamycin', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.32266	0.022286	0.017295	0.050487
('335160 164', 'smCenterCompoundID: 10108', 'smSalt: 101', 'smLincsID: LSM-1108', 'smName: Geldanamycin', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.30877	0.018727	-0.0016407	0.031919
('335161 165', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.78317	0.016333	0.68672	0.017721
('335162 166', 'smCenterCompoundID: 10172', 'smSalt: 101', 'smLincsID: LSM-1173', 'smName: GSK1059615', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.64872	0.08721	0.49502	0.12022
('335163 167', 'smCenterCompoundID: 10134', 'smSalt: 101', 'smLincsID: LSM-1134', 'smName: GSK1904529A', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.90122	0.022387	0.85815	0.030129
('335164 168', 'smCenterCompoundID: 10146', 'smSalt: 101', 'smLincsID: LSM-1147', 'smName: GSK2126458', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.23929	0.022954	-0.10154	0.023668
('335165 169', 'smCenterCompoundID: 10128', 'smSalt: 101', 'smLincsID: LSM-1128', 'smName: GSK 690693', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.83162	0.034081	0.75782	0.045049
('335166 170', 'smCenterCompoundID: 10014', 'smSalt: 101', 'smLincsID: LSM-1014', 'smName: GW843682', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.68653	0.083908	0.55059	0.11453
('335167 171', 'smCenterCompoundID: 10015', 'smSalt: 101', 'smLincsID: LSM-5982', 'smName: HG-5-113-01', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.91824	0.0046402	0.88154	0.0067775
('335168 172', 'smCenterCompoundID: 10016', 'smSalt: 101', 'smLincsID: LSM-5245', 'smName: HG-5-88-01', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.91916	0.024314	0.88166	0.037847
('335169 173', 'smCenterCompoundID: 10023', 'smSalt: 103', 'smLincsID: LSM-1023', 'smName: Imatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.99574	0.031162	0.99234	0.046003
('335170 174', 'smCenterCompoundID: 10100', 'smSalt: 101', 'smLincsID: LSM-36386', 'smName: JNK-9L', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.81757	0.048104	0.73818	0.066248
('335171 175', 'smCenterCompoundID: 10019', 'smSalt: 101', 'smLincsID: LSM-5674', 'smName: JW-7-24-1', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.88184	0.038339	0.82945	0.053476
('335172 176', 'smCenterCompoundID: 10051', 'smSalt: 104', 'smLincsID: LSM-1051', 'smName: Lapatinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.94404	0.039624	0.92096	0.056003
('335173 177', 'smCenterCompoundID: 10115', 'smSalt: 102', 'smLincsID: LSM-1115', 'smName: LDN-193189', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.93455	0.019618	0.90619	0.026765
('335174 178', 'smCenterCompoundID: 10182', 'smSalt: 101', 'smLincsID: LSM-1183', 'smName: Linifanib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	1.0384	0.021167	1.0567	0.031618
('335175 179', 'smCenterCompoundID: 10135', 'smSalt: 101', 'smLincsID: LSM-1135', 'smName: Linsitinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.93223	0.017268	0.90173	0.02475
('335176 180', 'smCenterCompoundID: 10479', 'smSalt: 102', 'smLincsID: ', 'smName: Mitoxantrone', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.31992	0.024852	0.013763	0.048472
('335177 181', 'smCenterCompoundID: 10479', 'smSalt: 102', 'smLincsID: ', 'smName: Mitoxantrone', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.35391	0.024713	0.064765	0.024081
('335178 182', 'smCenterCompoundID: 10057', 'smSalt: 102', 'smLincsID: LSM-1057', 'smName: MK2206', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.9004	0.058991	0.85878	0.083031
('335179 183', 'smCenterCompoundID: 10018', 'smSalt: 101', 'smLincsID: LSM-1018', 'smName: Neratinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.7464	0.030039	0.63269	0.042482
('335180 184', 'smCenterCompoundID: 10099', 'smSalt: 101', 'smLincsID: LSM-1099', 'smName: Nilotinib', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1.0265	0.023879	1.0384	0.034072
('335181 185', 'smCenterCompoundID: 10151', 'smSalt: 101', 'smLincsID: LSM-1152', 'smName: BIBF-1120', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.9862	0.044034	0.98139	0.062495
('335182 186', 'smCenterCompoundID: 10061', 'smSalt: 101', 'smLincsID: LSM-1061', 'smName: NU7441', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	1.0335	0.022011	1.0488	0.031462
('335183 187', 'smCenterCompoundID: 10232', 'smSalt: 101', 'smLincsID: LSM-4255', 'smName: BEZ235', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP5')	0.38312	0.045951	0.10785	0.054696
('335184 188', 'smCenterCompoundID: 10024', 'smSalt: 101', 'smLincsID: LSM-1024', 'smName: NVP-TAE684', 'clName: BT-20', 'clCenterSpecificID: 50105', 'smallMolConcentration: 0.12', 'ljpLibraryPlate: LJP6')	0.81067	0.087871	0.72371	0.12699
